MOFname,linker-SMILES,RDKitLinkerSanity
ACOLOV_clean,['C(C(COc1ccc(cc1)C(=O)[O])(COc1ccc(cc1)C(=O)[O])COc1ccc(cc1)C(=O)[O])OCC(COc1ccc(cc1)C(=O)[O])(COc1ccc(cc1)C(=O)[O])COc1ccc(cc1)C(=O)[O]'],True
acsami.6b11116_am6b11116_si_002_clean,['c1c[c]ccc1C(=O)[O].N.[H].[H].[H]'],True
acs.cgd.5b00681_AJUPEC1449470_clean,['c1(c2c3c(c(c4ccncc4)cc2)nsn3)ccncc1'],True
acs.cgd.5b01178_MAHFOT1419063_clean,['C(=O)(c1cc(cc(c1)C(=O)[O])[NH2]Cc1ccncc1)[O]'],True
acs.cgd.5b01178_MAHFUZ1419064_clean,['C(c1ccncc1)Nc1cc(C(=O)[O])cc(c1)C(=O)[O]'],True
acs.cgd.5b01632_ZAHKOL1438120_clean,"['[C](=O)[O].[C@]123[C@@H]4[C@H]5[C@@H]([C@H]34)[N@]35[C@H]4[C@@H]3[C@@H]1[C@@H]24', '[C@H]12[C@@H]([C@H]([C])[CH]2)[N@]21[C@H]1[CH][CH][C@@H]21.[O][C]=O']",False
j.ica.2016.03.015_0cudmmal4pnafinal_clean,"['c1(NC(=O)c2cccnc2)ccncc1', 'C(=O)(C(C(=O)[O])(C)C)[O]']",True
j.ica.2016.05.002_2_clean,"['c1(c(cc(C(=O)[O])cc1)C(=O)[O])c1c(cc(c2c(C(=O)[O])cc(C(=O)[O])cc2)c(c1)C(=O)[O])C(=O)[O]', 'c1cncn1CCCCn1cncc1']",True
j.ica.2016.05.002_6_clean,"['c1cncn1c1cc(cc(c1)n1cncc1)n1ccnc1', 'C(=O)(c1cc(C(=O)[O])ccc1c1c(cc(c2c(C(=O)[O])cc(C(=O)[O])cc2)c(c1)C(=O)[O])C(=O)[O])[O]']",True
j.ica.2016.06.009_dd014_1_0m_clean,"['[O]C(=O)CCCCCC(=O)[O]', 'c1cc(ccn1)CCc1ccncc1']",True
j.ica.2016.09.002_1_clean,"['c12c(ccc(c1cccn2)/N=C/c1ccc(cc1)C)[O]', 'FF.FF.[F].FC(F)(F)C(=O)[CH]C(=O)[C]F', 'FC(F)(F)C(=O)[CH]C(=O)C(F)(F)F']",True
j.ica.2016.09.002_2_clean,"['c12c(ccc(c1cccn2)/N=C/c1ccc(cc1)C)[O]', 'C(=O)([C]F)[CH]C(=O)C(F)(F)F.[F].FF.FF', 'FC(F)(F)C(=O)[CH]C(=O)C(F)(F)F']",True
j.ica.2016.09.043_Compound2_clean,['c1cccc(c2cc(cc(C(=O)[O])n2)c2ccc(cc2)C(=O)[O])n1'],True
j.ica.2016.10.007_1-IV-523_sq-fin_clean,['c1nccn1Cc1ccc(cc1)Cn1cncc1'],True
j.ica.2016.10.007_4-IV-410_clean,"['O=C(O)c1c(C(=O)[O])cccc1C(=O)[O]', 'c1cn(cn1)Cc1ccc(cc1)Cn1ccnc1']",True
JILWIL_clean,['[O]P(=O)([O])[O]'],True
JILWOR_clean,['[O]P(=O)([O])[O]'],True
JILXOS_clean,"['n1ccc(cc1)C(=O)[N]/N=C\\c1ccncc1', '[C]#N', '[C]#[C]']",True
j.inoche.2014.12.004_inc05822-mmc1_clean,"['O=C([O])c1c(cc(cc1)C)C(=O)[O]', 'c1cc(ccn1)CCc1ccncc1']",True
j.inoche.2014.12.007_INC05825-mmc2_clean,"['c1cc(ccn1)C1=N[C](c2ccncc2)N(Cn2cncn2)[N]1', '[O]C(=O)[C@@]1(CC[C@@H](C1(C)C)C(=O)[O])C']",True
j.inoche.2015.01.025_INC05862-mmc1_clean,"['C(=O)(c1ccc(C(=O)[O])cc1)[O]', 'NC1=[N]=CN=N1']",False
j.inoche.2015.01.025_INC05862-mmc2_clean,"['C1(=[N]=CN=N1)N', '[O]C(=O)c1ccc(s1)C(=O)[O]']",False
