MOFname,totalPOV_VF,edge_group_selfie,node_selfie,topo,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens
nbo_N259_edge45598,0.6415,[FrH0][C][C][C][Branch][N][Branch][FrH0][pop][C][C][Branch][:0propyl][pop][Branch][:0propyl][pop][Ring1][#Branch][pop][:0propyl],[Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Ni][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1],nbo,"[64, 61, 61, 61, 60, 65, 60, 64, 72, 61, 61, 60, 19, 72, 60, 19, 72, 68, 1, 72, 19]",21,[Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Ni][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][nbo],"[34, 45, 22, 45, 20, 20, 22, 7, 54, 20, 47, 20, 48, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 20, 48, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 4, 88]",47,[FrH0][C][C][C][Branch][N][Branch][FrH0][pop][C][C][Branch][:0propyl][pop][Branch][:0propyl][pop][Ring1][#Branch][pop][:0propyl][.][Fr][N][C][N][Branch1][Branch1][C][=C][Ring1][Branch1][Ni][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][nbo],"[89, 75, 75, 75, 74, 101, 74, 89, 148, 75, 75, 74, 23, 148, 74, 23, 148, 110, 3, 148, 23, 8, 90, 101, 75, 101, 72, 72, 75, 58, 110, 72, 103, 72, 104, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 72, 104, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 6, 145]",70
reo_N543_edge187963,0.4095,[P][C][=C][Branch][C][C][Branch][C][Branch][C][=Branch][=C][Ring1][#Branch][pop][FrH0][pop][Branch][P][pop][Ring1][Ring1][pop][P][pop][O][C][FrH0],[Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1],reo,"[67, 61, 52, 60, 61, 61, 60, 61, 60, 61, 51, 52, 68, 1, 72, 64, 72, 60, 67, 72, 68, 68, 72, 67, 72, 66, 61, 64]",28,[Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][reo],"[34, 22, 48, 47, 21, 55, 8, 48, 22, 20, 22, 34, 48, 47, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 55, 48, 54, 8, 20, 48, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 48, 20, 48, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 4, 92]",86,[P][C][=C][Branch][C][C][Branch][C][Branch][C][=Branch][=C][Ring1][#Branch][pop][FrH0][pop][Branch][P][pop][Ring1][Ring1][pop][P][pop][O][C][FrH0][.][Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][reo],"[105, 75, 58, 74, 75, 75, 74, 75, 74, 75, 57, 58, 110, 3, 148, 89, 148, 74, 105, 148, 110, 110, 148, 105, 148, 104, 75, 89, 8, 90, 75, 104, 103, 73, 111, 59, 104, 75, 72, 75, 90, 104, 103, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 111, 104, 110, 59, 72, 104, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 104, 72, 104, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 6, 150]",116
lcy_N328_edge85571,0.601,[Br][C][=C][Branch][:1methyl_amine][Ring1][N][Branch][N][Ring1][=Branch][pop][FrH0][pop][pop][FrH0],[Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C],lcy,"[59, 61, 52, 60, 29, 68, 65, 60, 65, 68, 51, 72, 64, 72, 72, 64]",16,[Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][lcy],"[34, 22, 7, 45, 65, 21, 54, 48, 45, 22, 20, 7, 22, 45, 54, 20, 22, 7, 20, 22, 34, 22, 22, 11, 1, 7, 22, 22, 20, 22, 34, 7, 54, 7, 21, 54, 1, 45, 22, 5, 2, 7, 22, 22, 20, 22, 34, 7, 54, 1, 22, 55, 54, 21, 7, 22, 55, 54, 45, 45, 22, 20, 3, 22, 45, 55, 54, 8, 22, 7, 20, 22, 34, 22, 22, 11, 1, 7, 22, 22, 20, 22, 34, 7, 54, 7, 4, 83]",88,[Br][C][=C][Branch][:1methyl_amine][Ring1][N][Branch][N][Ring1][=Branch][pop][FrH0][pop][pop][FrH0][.][Fr][C][=C][N][Zn][Branch2][Ring1][O][N][C][Branch1][=C][C][N][Ring1][Branch1][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][#Branch2][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][=C][C][Ring2][Ring1][N][N][C][Branch1][#C][C][N][Ring2][Ring1][=N][C][=C][Branch1][C][Fr][C][C][=Ring1][#Branch1][=C][C][C][Branch1][C][Fr][=C][Ring1][=C][&&][lcy],"[71, 75, 58, 74, 33, 110, 101, 74, 101, 110, 57, 148, 89, 148, 148, 89, 8, 90, 75, 58, 101, 122, 73, 110, 104, 101, 75, 72, 58, 75, 101, 110, 72, 75, 58, 72, 75, 90, 75, 75, 62, 1, 58, 75, 75, 72, 75, 90, 58, 110, 58, 73, 110, 1, 101, 75, 55, 2, 58, 75, 75, 72, 75, 90, 58, 110, 1, 75, 111, 110, 73, 58, 75, 111, 110, 101, 101, 75, 72, 4, 75, 101, 111, 110, 59, 75, 58, 72, 75, 90, 75, 75, 62, 1, 58, 75, 75, 72, 75, 90, 58, 110, 58, 6, 140]",106
nbo_N513_edge69723,0.61,[:0isocyanate][C][C][Branch][C][Branch][O][FrH0][pop][Branch][:0isocyanate][pop][O][pop][C][=C][C][O][FrH0][pop],[S][=C][=N][Fe][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][#C][N][N][C][Branch1][=Branch2][C][Branch1][C][Fr][=C][Ring1][=Branch1][C][C][Branch1][Ring2][N][=C][=S][N][C][=Branch1][N][=C][Branch1][C][Fr][C][Branch1][Ring2][N][Ring1][=Branch1][C][C],nbo,"[14, 61, 61, 60, 61, 60, 66, 64, 72, 60, 14, 72, 66, 72, 61, 52, 61, 66, 64, 72]",20,[S][=C][=N][Fe][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][#C][N][N][C][Branch1][=Branch2][C][Branch1][C][Fr][=C][Ring1][=Branch1][C][C][Branch1][Ring2][N][=C][=S][N][C][=Branch1][N][=C][Branch1][C][Fr][C][Branch1][Ring2][N][Ring1][=Branch1][C][C][&&][nbo],"[56, 7, 8, 33, 20, 3, 45, 45, 22, 5, 6, 7, 20, 22, 34, 22, 54, 5, 22, 22, 20, 3, 45, 45, 22, 5, 6, 7, 20, 22, 34, 22, 54, 5, 22, 22, 20, 3, 45, 45, 22, 20, 6, 22, 20, 22, 34, 7, 54, 5, 22, 22, 20, 55, 45, 7, 13, 45, 22, 5, 45, 7, 20, 22, 34, 22, 20, 55, 45, 54, 5, 22, 22, 4, 88]",75,[:0isocyanate][C][C][Branch][C][Branch][O][FrH0][pop][Branch][:0isocyanate][pop][O][pop][C][=C][C][O][FrH0][pop][.][S][=C][=N][Fe][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][#C][N][N][C][=Branch1][=Branch2][=C][Branch1][C][Fr][C][Ring1][=Branch1][C][C][Branch1][#C][N][N][C][Branch1][=Branch2][C][Branch1][C][Fr][=C][Ring1][=Branch1][C][C][Branch1][Ring2][N][=C][=S][N][C][=Branch1][N][=C][Branch1][C][Fr][C][Branch1][Ring2][N][Ring1][=Branch1][C][C][&&][nbo],"[18, 75, 75, 74, 75, 74, 104, 89, 148, 74, 18, 148, 104, 148, 75, 58, 75, 104, 89, 148, 8, 113, 58, 59, 88, 72, 4, 101, 101, 75, 55, 56, 58, 72, 75, 90, 75, 110, 55, 75, 75, 72, 4, 101, 101, 75, 55, 56, 58, 72, 75, 90, 75, 110, 55, 75, 75, 72, 4, 101, 101, 75, 72, 56, 75, 72, 75, 90, 58, 110, 55, 75, 75, 72, 111, 101, 58, 64, 101, 75, 55, 101, 58, 72, 75, 90, 75, 72, 111, 101, 110, 55, 75, 75, 6, 145]",97
qtz_N156_edge76110,0.5675,[FrH0][C][Branch][C][=C][Branch][C][Branch][FrH0][pop][C][:0methyl][pop][:0methyl][pop][=Ring1][->][=Branch],[O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N],qtz,"[64, 61, 60, 61, 52, 60, 61, 60, 64, 72, 61, 15, 72, 15, 72, 56, 4, 51]",18,[O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][qtz],"[48, 7, 20, 22, 34, 48, 29, 20, 1, 48, 22, 20, 22, 34, 9, 20, 6, 48, 22, 20, 22, 34, 48, 54, 6, 48, 22, 20, 22, 34, 48, 54, 8, 4, 91]",35,[FrH0][C][Branch][C][=C][Branch][C][Branch][FrH0][pop][C][:0methyl][pop][:0methyl][pop][=Ring1][->][=Branch][.][O][=C][Branch1][C][Fr][O][Dy][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][qtz],"[89, 75, 74, 75, 58, 74, 75, 74, 89, 148, 75, 19, 148, 19, 148, 62, 7, 57, 8, 104, 58, 72, 75, 90, 104, 83, 72, 1, 104, 75, 72, 75, 90, 60, 72, 56, 104, 75, 72, 75, 90, 104, 110, 56, 104, 75, 72, 75, 90, 104, 110, 59, 6, 149]",55
gme_N254_edge58100,0.4185,[FrH0][C][Branch][:0propyl][pop][C][C][Branch][C][Branch][:0propyl][pop][N][Branch][FrH0][pop][N][Ring1][N][pop][:0propyl],[Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1],gme,"[64, 61, 60, 19, 72, 61, 61, 60, 61, 60, 19, 72, 65, 60, 64, 72, 65, 68, 65, 72, 19]",21,[Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][&&][gme],"[34, 22, 48, 23, 21, 55, 20, 48, 22, 20, 22, 34, 48, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 48, 22, 20, 22, 34, 48, 55, 54, 22, 48, 55, 54, 20, 4, 81]",49,[FrH0][C][Branch][:0propyl][pop][C][C][Branch][C][Branch][:0propyl][pop][N][Branch][FrH0][pop][N][Ring1][N][pop][:0propyl][.][Fr][C][O][Cd][Branch2][Ring2][Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][Ring2][Ring1][Branch1][&&][gme],"[89, 75, 74, 23, 148, 75, 75, 74, 75, 74, 23, 148, 101, 74, 89, 148, 101, 110, 101, 148, 23, 8, 90, 75, 104, 76, 73, 111, 72, 104, 75, 72, 75, 90, 104, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 104, 75, 72, 75, 90, 104, 111, 110, 75, 104, 111, 110, 72, 6, 138]",72
unc_N32_edge8655,0.6675,[FrH0][C][=Branch][=C][Branch][C][Branch][C][Branch][C][C][Branch][S][C][pop][Ring1][Ring1][pop][FrH0][pop][S][C][pop][S][C][pop][S][C],[O][=C][Branch1][C][Fr][O][Gd][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O],unc,"[64, 61, 51, 52, 60, 61, 60, 61, 60, 61, 61, 60, 71, 61, 72, 68, 68, 72, 64, 72, 71, 61, 72, 71, 61, 72, 71, 61]",28,[O][=C][Branch1][C][Fr][O][Gd][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][unc],"[48, 7, 20, 22, 34, 48, 35, 20, 1, 48, 22, 20, 22, 34, 9, 20, 1, 48, 22, 20, 22, 34, 9, 48, 22, 20, 22, 34, 9, 4, 100]",31,[FrH0][C][=Branch][=C][Branch][C][Branch][C][Branch][C][C][Branch][S][C][pop][Ring1][Ring1][pop][FrH0][pop][S][C][pop][S][C][pop][S][C][.][O][=C][Branch1][C][Fr][O][Gd][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][=O][&&][unc],"[89, 75, 57, 58, 74, 75, 74, 75, 74, 75, 75, 74, 113, 75, 148, 110, 110, 148, 89, 148, 113, 75, 148, 113, 75, 148, 113, 75, 8, 104, 58, 72, 75, 90, 104, 91, 72, 1, 104, 75, 72, 75, 90, 60, 72, 1, 104, 75, 72, 75, 90, 60, 104, 75, 72, 75, 90, 60, 6, 158]",61
utp_N493_edge118595,0.571,[:0nitrile][C][C][Branch][N][C][Branch][N][Branch][N][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][:0nitrile][pop][:0nitrile][pop][FrH0][pop][S][S][pop],[Fr][C][O][Cd][Branch2][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Cd][Branch1][Branch1][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2],utp,"[17, 61, 61, 60, 65, 61, 60, 65, 60, 65, 60, 61, 65, 60, 64, 72, 68, 51, 72, 17, 72, 17, 72, 64, 72, 71, 71, 72]",28,[Fr][C][O][Cd][Branch2][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Cd][Branch1][Branch1][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][utp],"[34, 22, 48, 23, 21, 54, 2, 48, 22, 20, 22, 34, 48, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 48, 22, 20, 22, 34, 48, 54, 7, 48, 22, 20, 22, 34, 48, 23, 20, 20, 48, 55, 54, 5, 48, 22, 20, 22, 34, 48, 55, 54, 21, 4, 102]",56,[:0nitrile][C][C][Branch][N][C][Branch][N][Branch][N][Branch][C][N][Branch][FrH0][pop][Ring1][=Branch][pop][:0nitrile][pop][:0nitrile][pop][FrH0][pop][S][S][pop][.][Fr][C][O][Cd][Branch2][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][O][Cd][Branch1][Branch1][O][Ring2][Ring1][=Branch1][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][utp],"[21, 75, 75, 74, 101, 75, 74, 101, 74, 101, 74, 75, 101, 74, 89, 148, 110, 57, 148, 21, 148, 21, 148, 89, 148, 113, 113, 148, 8, 90, 75, 104, 76, 73, 110, 2, 104, 75, 72, 75, 90, 104, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 104, 75, 72, 75, 90, 104, 110, 58, 104, 75, 72, 75, 90, 104, 76, 72, 72, 104, 111, 110, 55, 104, 75, 72, 75, 90, 104, 111, 110, 73, 6, 160]",86
reo_N543_edge67999,0.23,[FrH0][C][=C][N][Branch][C][C][Branch][:2pyridine][pop][Branch][:2pyridine][pop][Ring1][Branch][pop][FrH0],[Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1],reo,"[64, 61, 52, 65, 60, 61, 61, 60, 36, 72, 60, 36, 72, 68, 60, 72, 64]",17,[Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][reo],"[34, 22, 48, 47, 21, 55, 8, 48, 22, 20, 22, 34, 48, 47, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 55, 48, 54, 8, 20, 48, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 48, 20, 48, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 45, 22, 45, 20, 22, 34, 22, 7, 54, 5, 4, 92]",86,[FrH0][C][=C][N][Branch][C][C][Branch][:2pyridine][pop][Branch][:2pyridine][pop][Ring1][Branch][pop][FrH0][.][Fr][C][O][Ni][Branch2][Ring2][=N][O][C][Branch1][C][Fr][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][=N][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][O][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][reo],"[89, 75, 58, 101, 74, 75, 75, 74, 40, 148, 74, 40, 148, 110, 74, 148, 89, 8, 90, 75, 104, 103, 73, 111, 59, 104, 75, 72, 75, 90, 104, 103, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 111, 104, 110, 59, 72, 104, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 104, 72, 104, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 101, 75, 101, 72, 75, 90, 75, 58, 110, 55, 6, 150]",105
srs_N579_edge150085,0.792,[FrH0][C][C][Branch][N][Branch][FrH0][pop][C][S][=C][Ring1][#Branch][pop][Branch][P][Branch][C][pop][C][pop][P][Branch][C][pop][C],[Fr][C][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][Ring1][N],srs,"[64, 61, 61, 60, 65, 60, 64, 72, 61, 71, 52, 68, 1, 72, 60, 67, 60, 61, 72, 61, 72, 67, 60, 61, 72, 61]",26,[Fr][C][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][Ring1][N][&&][srs],"[34, 22, 48, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 6, 48, 22, 20, 22, 34, 48, 54, 6, 48, 54, 45, 4, 97]",29,[FrH0][C][C][Branch][N][Branch][FrH0][pop][C][S][=C][Ring1][#Branch][pop][Branch][P][Branch][C][pop][C][pop][P][Branch][C][pop][C][.][Fr][C][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][Ring1][N][&&][srs],"[89, 75, 75, 74, 101, 74, 89, 148, 75, 113, 58, 110, 3, 148, 74, 105, 74, 75, 148, 75, 148, 105, 74, 75, 148, 75, 8, 90, 75, 104, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 56, 104, 75, 72, 75, 90, 104, 110, 56, 104, 110, 101, 6, 155]",57
sra_N310_edge60929,0.531,[FrH0][C][C][C][C][N][Branch][C][Branch][:2pyrimidine][pop][Ring1][=Branch][pop][FrH0],[O][=C][Branch1][C][Fr][O][Fe][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N],sra,"[64, 61, 61, 61, 61, 65, 60, 61, 60, 37, 72, 68, 51, 72, 64]",15,[O][=C][Branch1][C][Fr][O][Fe][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][sra],"[48, 7, 20, 22, 34, 48, 33, 20, 1, 48, 22, 20, 22, 34, 9, 20, 6, 48, 22, 20, 22, 34, 48, 54, 6, 48, 22, 20, 22, 34, 48, 54, 8, 4, 96]",35,[FrH0][C][C][C][C][N][Branch][C][Branch][:2pyrimidine][pop][Ring1][=Branch][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Fe][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][&&][sra],"[89, 75, 75, 75, 75, 101, 74, 75, 74, 41, 148, 110, 57, 148, 89, 8, 104, 58, 72, 75, 90, 104, 88, 72, 1, 104, 75, 72, 75, 90, 60, 72, 56, 104, 75, 72, 75, 90, 104, 110, 56, 104, 75, 72, 75, 90, 104, 110, 59, 6, 154]",52
